	count	mean	std	min	25%	50%	75%	max
phase_set_lengths	183.0	184941.25683060108	418153.4565233997	81.0	458.0	18656.0	131133.0	3010837.0
N50	NA	NA	NA	NA	NA	894869	NA	NA
